Test language,CEFR level of test,Mother tongue,Overall CEFR rating,Grammatical accuracy,Orthography,Vocabulary range,Vocabulary control,Coherence/Cohesion,Sociolinguistic appropriateness,Learner text,Filename
German,C1,Turkish,B2,B2,B2,C1,C1,B2,B2,"Heutezutage sprechen viele Menschen Englisch, Französisch, Spanisch, über all in der Welt. Englisch, Französisch und Spanisch werden nützlicher gesehen als die Deutsche Sprache. Aber die Deutsche Sprache ist für Türkische Leuten sehr wichtig, weil in vielen Länder auch in der Türkei sehr viel Deutsch gesprochen wird. In Deutschland leben viele Türken, Wenn die Türkische Menschen noch bessere Deutsch sprechen können, können sie sich besser integrieren. Wenn die Türkische Menschen  und Ausländer die in Deutschland leben kein Deutsch lernen haben sie keine Möglichkeiten zu arbeiten oder keine gute lebensOuälitat in Deutschland erreichen. Heutezutage ist die Wirtschaftliche  zusammen arbeit sehr gewachsen. zwischen Deutschland und der Turkei. Wenn die Türkische menschen Deutschsprache besser beherrschen dann vedienen viele Türkische menschen gut Geld. Z.B ich habe Wirtschaft studiert. Aber ich lebe in Deutschland und arbeitet bei der . Bundesbahn, weil ich Türkischesprache behersche und Deutsch spreche kann ich im Unternehmen sogar übersetzen und beraten, deshalb werde ich von einigen Firmen bevorzugt. Bei der Deutsche Bahn arbeiten auch viel Türkischen mitarbeiter und ich werde bei den meisten bei problemen der Verständigung gerufen sodass ich auch mit meinen Deutschkenntnissen behilfich bin.",1031_0003129.txt
German,C1,other,C1,C1,C1,C1,C1,C2,C1,Wohnen in der Schweiz,1031_0002006.txt
German,A2,not reported,B1,A2,B1,B1,B1,B1,B1,"Sehr geeherter Damen und Herren,",1091_0000074.txt
German,A2,not reported,A2,A2,A2,A2,A2,A2,A2,Stadt X 05 01 . 2012,1091_0000013.txt
German,B2,French,B1,B1,C1,B1,B1,B1,B2,Meier Julia,1023_0109391.txt
German,A2,not reported,B1,B2,C1,B1,B2,B1,B2,Stadt X den 13 März 2012,1091_0000263.txt
German,B1,Russian,A2,A2,A2,A2,A2,A2,A2,Liebe Silke,1061_0120353.txt
German,A1,Arabic,B1,B1,B1,B1,B1,B1,B1,"Lieber Ingo,                                                 08.03.2012 Stadt X",1071_0024680.txt
German,B2,Polish,B1,B1,B2,B2,B2,B1,B2,"Bonn, 2010.07.07",1023_0103843.txt
German,B1,not reported,A2,A2,B1,A2,A2,B1,A2,"Stadt X, 28.02.2012",1061_1029114.txt
German,B2,other,B1,B1,B2,B2,B1,B1,B2,"Stadt X, 11.09.08",1023_0109267.txt
German,A1,Polish,A2,A2,A2,A2,A2,A2,A2,Liebe Ingo,1071_0024770.txt
German,B1,Russian,B2,B2,B2,B2,B2,B2,B2,Liebe Silke!,1061_0120371.txt
German,A2,not reported,B1,A2,B1,B1,B1,B1,B1,11. März.12,1091_0000261.txt
German,C1,Russian,B2,B2,B2,C1,B2,C1,B2,Der Wohnungsmarkt in Stadt X,1031_0003053.txt
German,B2,Russian,B2,C1,C1,C1,C2,B2,B2,Maria Meier,1023_0109945.txt
German,C1,Turkish,B2,B2,B2,B2,C1,B2,B2,"Wenn Englisch, Französisch und Spanisch von mehr Menschen gesprochen werden, das beweisst nicht das Deutsch unnützlich ist.",1031_0003246.txt
German,B1,English,A2,A1,A2,A2,A2,A1,A2,Liebe Dana,1061_0120283.txt
German,C1,other,B2,B2,B2,C1,B2,C1,B2,"„Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes forzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren.""",1031_0003337.txt
German,C1,other,B2,B2,C1,C1,C1,C1,B2,"In diesem Text „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?"" beschäftige ich mich erstmal mit Argumentationen, die pro oder contra sind. Am Ende ziehe ich eine Schlussfolgerung.",1031_0002089.txt
German,B2,French,B1,B1,C1,B1,B1,B1,B2,"Stadt X, den 12. August 2011",1023_0108935.txt
German,A1,Turkish,A2,A2,B1,A2,A2,A2,A2,"Lieber Jens,",1071_0243592.txt
German,B2,English,B1,B1,B2,B1,B1,B2,B2,Friedrich Meier,1023_0107672.txt
German,A2,not reported,B1,B1,B1,B1,B1,A2,B1,"Stadt X, 13-03-2012",1091_0000258.txt
German,C1,Polish,B2,B2,C1,B2,B2,B2,B2,"Mit dem Thema „Traditionen im Ausland - Heimatlandes oder Gastlandes?"" müssen wir direkt mehr oder weniger auseinandersetzen, weil Traditionen und Kultur ist fast für jeden wichtig.",1031_0002032.txt
German,B2,other,B2,B1,B2,B2,B2,B2,B2,Eva Meier,1023_0107788.txt
German,B2,English,B1,B1,B2,B2,B2,B1,B2,Maria Meier,1023_0109951.txt
German,A2,Russian,B1,A2,B1,A2,B1,A2,A2,06.01.2012,1091_0000166.txt
German,C1,Hungarian,B2,B1,C1,C1,B2,B2,B2,"In einem Internetforum habe ich um das Thema „Ist es sinvoll auch im Ausland die Traditionen seines Heimatlands vorzusetzen oder sollte man sich an der Kultur des Gastlandes orientieren?“ Dazu möchte ich meiner Meinung zu schreiben. Ich glaube wenn man im Ausland lebt soll auch die Traditionen seines Heimatlandes und auch die neue Traditionen halten man kann sich auch im Ausland besser fühlen, wenn z.B. Traditionelle Essen kocht und erinnert sich die Zeit als noch zu Hause lebt. Aber wenn man im Ausland neue Freunde finden möchte muss auch der Kultur des Gastlands wo er lebt erkennen. Ich habe eine Verwandte, die in Deutschland lebt und sie kann auch die Traditionen die Ungarn benutzen und auch die deutsche Aber zwischen Deutschland und Ungarn gibt es nicht so viele Unterschide. In einem arabischen Land wäre den Situation sehr schwerer und anders Dort können die Frauen die da ziehen nicht ihres Traditionen benutzen. Also ich meine man kann nur dann entscheiden wenn schon im Ausland lebt. und man muss die bessere Situation wählen.",1031_0003230.txt
German,A2,Russian,B1,B1,B2,B1,A2,B1,B1,"Liebe Maria,",1091_0000067.txt
German,B1,Arabic,B1,B1,B2,B1,B1,B1,B1,"Stadt X, 03.08.2012",1061_0120479.txt
German,B1,not reported,B1,B1,C1,B1,B1,B1,B2,"28.02.2012, Stadt X",1061_0120350.txt
German,A1,Turkish,A2,B1,A2,B1,B1,B1,A2,Liebe daniela wie gehetdir.,1071_0248350.txt
German,A1,not reported,A2,A2,B1,B1,A2,A2,A2,"Liebe Daniela,                                                                Stefan Müller",1071_0248313.txt
German,C1,other,B2,B2,C1,C1,C1,B2,B2,"Uberall werden Sprachen gesprochen und im Besonders die Sprache des Landes, in dem Man lebt.",1031_0003149.txt
German,B2,not reported,B1,B1,B1,B2,B2,B1,B1,"Stadt X, 22 März 2010",1023_0101856.txt
German,A1,Arabic,A2,A2,B1,B1,A2,A2,A2,Mein LieblingsFreund Jens                                              19/03/2012,1071_0024859.txt
German,B1,Russian,B1,B1,B1,B1,B1,B1,B2,Deutschland/Stadt X 22.03.2012,1061_0120390.txt
German,B2,Polish,B2,C1,C1,C1,C1,B2,B2,Maria Müller,1023_0101749.txt
German,B1,not reported,A2,A2,B1,A2,A2,A2,A2,"Libe Silke,",1061_0120287.txt
German,B1,not reported,A2,A2,B1,B1,A2,A2,B1,"Stadt X, 26.3.2012",1061_0120888.txt
German,B2,Czech,B2,B2,B2,C1,C1,C1,B2,Katharina Meier,1023_0103955.txt
German,A2,not reported,A2,B1,B1,B1,B1,B1,B2,Liebe Julia.                                  13.3.2012,1091_0000248.txt
German,C1,Turkish,B2,B2,C1,C1,B2,B2,B2,Integration in ein Gastland,1031_0002184.txt
German,B2,Polish,B2,C1,B2,B2,B2,B2,B2,"Maria Schmidt                                               Stadt X, den 7.07.2010",1023_0103834.txt
German,B2,Polish,B2,B2,C1,B2,B2,B2,B2,Katharina Schmidt,1023_0103824.txt
German,A2,Polish,A2,B1,C1,B1,B1,B1,B2,Hallo Jula,1091_0000023.txt
German,B2,other,B1,B1,B2,B2,B1,B1,B1,Maria Meier-Müller,1023_0108426.txt
German,B1,Arabic,A2,A2,B1,B1,A2,B1,A2,"Stadt X, 22/02/2012",1061_0120279.txt
German,A2,Russian,A2,A1,A2,A2,A1,A1,A1,"Sehr geerte Damen und Herren,",1091_0000044.txt
German,A1,not reported,A2,A2,A2,A2,A2,A2,A2,Lieber Ingo                                   16.03.2012,1071_0024806.txt
German,C1,Turkish,C1,B2,C1,C1,C1,B2,B2,"Weltweit von mehr Menschen gesprochen werden Englisch, Französisch, Spanisch als Deutsch. Vor allem steht Englisch an der Spitze. Englisch ist wirklich eine Weltsprache, weil dies Sprache weltweit bekannt ist.",1031_0003128.txt
German,B2,Polish,B2,B2,C1,B2,B2,B2,B2,Friedrich Meier,1023_0103838.txt
German,B1,Spanish,A2,A2,B1,B1,A2,B1,B1,"Stadt X, den 22.03.2012",1061_0120387.txt
German,A1,Russian,B1,A2,B1,B1,B1,B1,A2,Liebe Ingo!,1071_0024681.txt
German,B1,not reported,A2,A2,A2,A2,A2,A2,A2,Liebe Silke.                     Stadt X den 13-2-2012,1061_0120331.txt
German,B1,not reported,B1,B1,B2,B2,B1,B1,B2,Stadt X den 05.03.2012,1061_0120408.txt
German,C1,Hungarian,B1,B1,B1,B2,B1,B2,B1,Kultur,1031_0003221.txt
German,A1,not reported,A2,A2,B1,B1,A2,A2,B1,"Lieber Ingo,",1071_0242012.txt
German,C1,Turkish,B2,B2,C1,C1,B2,B2,B2,"Sehr geehrte Kollegin,",1031_0003419.txt
German,B1,not reported,A2,A2,B1,B1,A2,B1,B1,Stadt X den 22.03.12,1061_0120384.txt
German,B1,Portuguese,A1,A1,A2,A1,A1,A1,A1,Liebe Dana                      Stadt X 22.02.2012,1061_0120282.txt
German,A1,French,A2,A2,B1,A2,A2,A2,A2,Hello Daniela.,1071_0024827.txt
German,B2,other,B2,B1,B2,B2,C1,B2,B2,Müller Julia,1023_0001418.txt
German,A1,not reported,A2,A2,B2,A2,A2,A2,A2,"Lieber Jens,                                               Stadt X, 03.08.2012",1071_0024871.txt
German,B1,not reported,B1,B1,B2,B1,A2,A2,B1,"Stadt X, den 01.03.12",1061_0120874.txt
German,C1,Italian,B1,B1,B1,B2,B2,B2,B1,"Ich hab mit grossem Interesse auf einem Internetforum das Thema ""Ist es sinnvoll auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich and der Kultur des Gastlandes orientieren?"" und will meine meinung dazu sagen. Ich denke, dass es wie jeden Thema Vorteile und Nachteile hat. General finde ich, dass man sich an die Traditionen des Land gehalten muss und respekt haben. Man muss sich an die Regeln verhalten. Man sieht es deutlich an folgenden Beispiel: Wenn mann auf China geht und in ein Temple sein voll wo es steht bitte nicht sprechen bleibt man einfach in ruoh. Wir würden auch nicht gerne, dass Zum Beispiel 2 Korean am Sonntag Morgen in unsere Kirche kommen , fange an zu sprechen und Photos zu machen. Ich bin der Meinung, dass es um Astahnd geht. Es gibt aber auch nachteile. Zum Beispiel in Turkey kann mann kein Fleisch am sonntag essen so gehst du in ein Resaurant willst du ein stück fleisch und sie sagen Nein. Aber ich denke, dass bevor, dass jemand in Ausland geht solt er sich Informieren und darüber gedanken mache was er kann und was er nicht kann im Gastland machen",1031_0003327.txt
German,A2,not reported,A2,B1,B2,B1,B1,B1,B1,"Stadt X, 04.01.2012",1091_0000047.txt
German,C1,Hungarian,B2,B2,C1,B2,B2,B2,B1,"Sehr geehrte Damen und Herren,",1031_0003216.txt
German,B2,Spanish,B2,B2,C1,B2,B2,B2,B1,"Michael Meier Müller                                                   Stadt X, 27.7.2011",1023_0108813.txt
German,B1,not reported,A2,A2,B1,B1,A2,A2,A2,"Stadt X, den 28.02.2012",1061_0120328.txt
German,A2,Polish,B1,A2,B1,B1,B1,B1,A2,"Liebe Julia,",1091_0000114.txt
German,C1,Turkish,B2,B2,B2,C1,C1,C1,C1,"Ich als so genannter Ausländer der, seit vielen Jahren  in Deutschland lebt kann vielen dazu schreiben. Als ich nach Deutschland kamm war alles fremd für mich. Ich dachte damals, die Deutschen sind ein seltsames Volk. wenn man zu ihnen Schwein gesagt wurde waren sie beleidigt, aber wenn man ihnen gesagt wurde; Sie haben Schwein gehapt, dann waren Sie nicht beleidigt sondern irgendwie erfreut. Sie assen Schwein, Sie trunken Alkol un vieles anderes was ich aus Religiosen gründen abgelehnt habe. Ich ging eines tages mit einem Freund aus. Es war ein schönes Restaurant wo wir gut gegessen haben, als die Rechnung kamm sagte er, dass jeder für sich bezahlen sollte. Als ich erst nach dem ich entschieden habe die Kultur und die Sprache zu lernen, habe ich Sie verstehen können. Daher denke ich, dass es sehr wichtig ist die Sprache und die Kultur des Landes zu lernen in dem man lebt. Die Kultur die ich habe kann ich trotzdem bei behalten. Mit der Zeit habe ich gelernt, nicht zwischen zwei Kulturen zu leben, sondern, mit zwei Kulturen zusammen zu leben. Des wegen empfehle ich jeden der in eine andere Land lebt die Sprach zu lernen. Ihr braucht dabei keine angst zuhaben, ihr verliert nicht dabei. Es ist ein pluspunk wenn man die sprache beherscht und die Kultur kennt, in dem ausland in dem Sie zuzeit leben.",1031_0002087.txt
German,B1,Polish,B1,B1,B1,B1,B1,B1,B1,28.02 2012,1061_0120356.txt
German,A1,English,A2,A2,B1,B1,A2,A2,B1,Lieber Ingo,1071_0024702.txt
German,A2,Arabic,B1,A2,B2,B1,B2,B1,B1,"Liebe Maria,",1091_0000155.txt
German,A2,Russian,A2,A2,B1,A2,A2,A2,A2,Stadt X 04.1.2012,1091_0000037.txt
German,B2,Arabic,B1,B1,B2,B2,B1,B1,B1,Stefan Meier,1023_0101701.txt
German,B2,Polish,B2,B2,C1,B2,B2,B2,B2,Maria Meier,1023_0103831.txt
German,A1,not reported,A2,A1,A2,A2,A2,A1,A1,"Liebe, Daniela.",1071_0024825.txt
German,A2,Arabic,A2,A2,B1,A2,A2,A2,A2,"Stadt X, den 04.01.2012",1091_0000033.txt
German,B2,Polish,B2,B2,C2,B2,C1,B2,B1,Eva Winkelmann,1023_0103836.txt
German,B2,English,B2,B2,B2,B2,B2,B1,B2,Katharina Müller,1023_0101851.txt
German,A1,English,B1,B1,B2,B1,B1,A2,B1,"Hallo Daniela! Mochtest du mit mir Schwimmen gehen? Vielliecht gehen wir ins Schwimmbad Stadt X, heute abend um sieben uhr? Du brauchst nur schwimmkleidung.",1071_0024818.txt
German,C1,other,B2,B2,B2,C1,B2,B2,B2,"Sehr geheerte Damen und Herren,",1031_0003365.txt
German,B2,Polish,B2,B2,B2,B2,B2,B2,B2,Julia Schmidt,1023_0101751.txt
German,A2,not reported,A2,A2,A2,B1,A2,A2,B1,"Liebe Frau Maria,",1091_0000165.txt
German,A2,not reported,A2,A1,A2,A1,A1,A1,A1,"Stadt X, 13.3.2012",1091_0000255.txt
German,C1,German,B2,B2,B2,B2,B2,B2,B2,"Traditionen haben mehrere interessante Aspekte, die von der einen Seite aus der Geschichte von eigenem Land entstanden sind, von der anderen Seite gibt es auch die, die sehr eng mit der Religion, und der nationalen Identität verbunden sind. Gerade deswegen versuchen die älteren Mänschen, die Traditionen entweder ihres Volkes oder ihrer Nation den jüngeren weiterzugeben. Ob man im Außland die Traditionen seines Heimatlandes fortsetzen soll ist eine Frage der Bilanz zwischen zwei Traditionen, nähmlich von dem eigenem Heimatland und von deren des Gastlandes wo man hingeht oder lebt. Es kann ja zu häfftigen Außeinandersetzungen kommen, wenn die Grunen zum Beispiel sehen würden, wie ein oder mehrere Leute aus Kasahstan mehrere Schafe neben ihrem Garten schlachten würden und es nur damit begründen würden, dass sie es immer zu einer Hochzeit machen, weil es ihre uhralte Tradition ist so wäre das ein Disaster. Nehmen wir aber auch ein weniger häftigeres Beispiel in Betracht. In Russland feiert man traditionell das Neujahr anstatt Weinachten wesentlich mehr und feierlicher und damit hätten die deutschen Leute auch nichts kontraverses zu sagen. Es ist tatsächlich wichtig und meiner Meinung nach richtig dass man sich in die Kultur des Gastlandes einlebt und dadurch gleich näher zu den Menschen diese Landes wird und vieleich in manchen auserordentlichen Sachen auch Toleranz zeigt. Die eigenen Traditionen kann man ja immer für sich selber behalten weil sonst ist unvohesehbares Ärger vorprogrammiert und es könnte sogar zur Gewalt kommen, oder um Kampf nicht nur um eigene Traditionen, sondern um weiterführende nazionalistische Ideen, wie es heute noch in manchen Ländern der Fall ist.",1031_0003169.txt
German,A2,Turkish,A2,A2,A2,A2,A2,A2,A2,05.01.2012 Stadt X,1091_0000004.txt
German,B2,Portuguese,B2,B2,B2,B2,B2,B2,B2,"Michael Schmidt                                    Stadt X, 29. Juli 11",1023_0108810.txt
German,A1,Polish,B1,B1,B2,B1,B1,B1,B1,"Lieber Ingo,",1071_0248332.txt
German,B2,French,B2,B2,C1,B2,B2,B1,B2,"Maria Meier                  Stadt X, den 12. August 2011",1023_0108931.txt
German,B1,not reported,A2,A2,B1,B1,B1,B1,A2,Liebe Silke              Stadt X den 13-2-2012,1061_0120332.txt
German,A2,Russian,A2,B1,A2,B1,A2,B1,B1,"Hallo Maria,",1091_0000066.txt
German,B1,not reported,B2,B2,B2,B2,B2,B1,B2,"Liebe Silke,",1061_0120357.txt
German,A1,not reported,B1,B1,B1,B1,B1,B1,B1,"Hallo Ingo! Wie geht es dir? Ich habe etwas nohes für dich. Ich habe eine Arbeit in Neuburg gefundet, und ich wais das du auch in Neuburg wohnst. Ich brauche deine hilfe weil ich nach Neuburg umzihen muss! Kannst du bitte ein Wohnung für mich finden? Ich brauche einen klein Wohnung im zentrum oder in der nehe von U-Bahn. Vilen dank. Maria",1071_0024714.txt
German,C1,Hungarian,B2,B2,B2,B2,B1,B2,B2,"Heute als die Gränze abgebaut werden, und alle hat die Möglichkeit, ins Ausland zu fahren um dort seine Freizeit zu verbringen oder einen neuen Job zu suchen, wird das Thema „Imigration und fremde Kulturen"" entscheidend und wichtig.",1031_0003214.txt
German,A1,English,A2,A1,A2,A2,A1,A2,A2,"Herr Jens,",1071_0024857.txt
German,C1,other,C1,C1,C2,C2,C2,C1,C1,"""Warum Deutsch lernen?"" Diese Frage wird von vielen Leute gestellt. Viele behaupten, dass Deutsch nicht zur Kommunikation und zur weltweitigen Verständigung beitragen könne.",1031_0003043.txt
German,B2,other,B2,B2,B2,B2,C1,B1,B1,Meier Julia                                         Au-pair-Agentur Schultz & Partner,1023_0109591.txt
German,A1,not reported,A2,A2,A2,A2,A2,A2,A2,"Hallo Jens,",1071_0024848.txt
German,B1,Chinese,B1,B1,C1,B1,B1,B2,B2,"Stadt X, den 5. März, 2012",1061_0120414.txt
German,A2,Russian,B1,B1,B2,B1,B1,B1,B2,"Hallo Julia,",1091_0000008.txt
German,B1,Polish,B2,B2,B2,B2,B2,B2,B2,"Liebe Silke,",1061_0120320.txt
German,A2,not reported,A2,B1,B2,B1,B1,B1,B1,"Stadt X, 06.01.2012",1091_0000057.txt
German,C1,Hungarian,B2,B2,C1,C1,B2,B2,B2,"Meiner Meinung nach, im Ausland die Traditionen meines Heimatlandes (Ungarn) forsetzen nicht optimal. Im Ausland muss man der Kultur des Gastlandes Kennenlernen, sowie die Sprache des Gastlandes. Ich denke, im heutigen Zeit muss man ganz offen sein. Das bedeutet brauchen wir mindestens auf eine Fremdsprache gut sprechen, es kann entweder die Englische oder die Deutsche Sprache sein. Wenn jemand im Ausland lebt, dann muss man auch integrieren. Sonst kann es passieren, dass sie nach 20 Jahre noch immer nur Ausländer/in bleibt. Ich glaube die Traditionen seines Heimatlandes kann man halten, wie zum Beispiel die Fasten, die Religionen und die Traditionen. Aber darf man nicht nur seine „Welt“ leben, sondern kann man die Festen von Gastlandes auch besuchen. Wo kann man die Leute und die Gemeinde auch kennenzulernen. Braucht, man natürlich seine identität nicht verloren, aber integrieren muss. Die Kleidung von Heimatland kann man auch tragen. Für unsere Kinder müssen wir doch unsere Tradition weitergeben. In der Familienleben braucht man Traditionen seine Heimatlandes halten, aber draussen müssen wir offen sein.",1031_0003238.txt
German,C1,Russian,C1,B2,C1,C1,C1,C1,C1,Warum Deutschlernen sinnvoll ist,1031_0003181.txt
German,B1,Polish,B1,B1,C1,B2,B1,B2,B1,"Stadt X, den 22. März",1061_0120383.txt
German,B1,not reported,A2,A2,B1,B1,B1,A2,A2,Stadt X den 12.3.2012,1061_0120341.txt
German,B1,Chinese,B1,B1,B2,B1,B1,B1,B2,"Stadt X, den 28.02.2012",1061_0120326.txt
German,A2,not reported,A2,A2,B2,B1,B1,B1,B1,"123, Zentralplatz, Stadt X.                                Den , Stadt X 09. März. 2012",1091_0000200.txt
German,A1,Arabic,A1,A1,A1,A1,A1,A1,A1,"Liebe Maria,",1071_0248305.txt
German,B2,Polish,B2,B2,C2,B2,B2,B2,B2,"Stadt X, 28.05.2011",1023_0001575.txt
German,A1,Italian,A2,B1,A2,A2,A2,A2,A2,Lieber Daniela,1071_0248343.txt
German,C1,Italian,B2,B2,C1,C1,C1,C1,B2,"Dieser Bericht richtet sich an allen ausländische Leuten, die sich um eine Stelle bei ""MfG„ bewerben wollen und er gibt Auskünfte über die Stadt und die Preise von Häusern. Prinzipiell ist Stadt X eine sehr schöne Stadt, wo besonders Kinder ihre Freude finden können, weil Stadt X reich an Spielplätze und Wiesen sind. Auch Erwachsene können sich jedoch gut unterhalten, denn Vereine sind hier überall Verbraitet, und besonders Einzelpersonen können hier viele Kontakte knüpfen und, wenn jemand Glück hat, vielleicht auch die Leibe finden. Von wichtigen Bedeutung ist, dass in dieser Stadt alle immer bereit sind, dem anderen zu helfen, wenn er in Not ist. Was Wohnungsmarkt betrefft, sind die Preise hier sehr teuer wenn man nicht genau weißt, wo man suchen sollte. Aus diesem Grund gibt es in Stadt X ein zuständiger Amt,  wo man fragen und herausfinden kann, was am bestens für jeder passt. Dieser Amt heißt ""Ein Haus, ein Leben„ und befindet sich in Winkelsweg 19. Es lohnt sich aber immer mehr, ein Haus zu kaufen, statt eines zu mieten. Es",1031_0003052.txt
German,C1,other,B2,B2,B2,C1,B2,B2,B2,Nach einer Lange überlegung bin ich der Meinung dass man auch im Ausland die Traditionen seines Heimatlandes fortzusetzen.,1031_0003191.txt
German,A1,Polish,A2,A2,A2,A2,A2,A2,A2,Liebe Jens!,1071_0024856.txt
German,A2,not reported,B1,A2,B1,A2,A2,A2,A2,"Lieb Mari,",1091_0000245.txt
German,A1,Turkish,A1,A1,A2,A1,A1,A1,A2,"Hallo Ingo,",1071_0248325.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,A2,"Lieber Michael,",1061_0120450.txt
German,C1,Spanish,C1,C1,C1,C1,C1,C1,C1,"Als Spanierin höre ich schon seit Monaten, dass Deutsch die Sprache der Zukunft sein soll. Plötzlich wollen alle qualifizierte Arbeiter die Sprache Goethes lernen, einfach weil die Arbeitschanden hier in Deutschland deutlich besser als bei uns sind. Leider sieht die Mehrheit von diesen Leute Deutsch nur als ein Werkzeug, den Traumjob zu finden. Ich sehe es anders.",1031_0003207.txt
German,C1,other,B2,B2,B2,B2,B2,B2,B2,"Liebe zukünftigen Kollegen,",1031_0003366.txt
German,B1,Polish,B1,A2,B2,B1,B1,B1,B1,"Stadt X, 13.03.2012",1061_0120432.txt
German,A1,Arabic,A2,A1,A2,A2,A2,A2,A2,"Liebe Daniela,",1071_0243582.txt
German,A2,Turkish,B1,B1,B1,B1,B1,B1,B1,"Liebe Maria,",1091_0000244.txt
German,B1,Czech,A2,A2,B1,A2,A2,A2,A2,"Liebe Dana,                                             Stadt X 22.02.2012",1061_0120277.txt
German,A1,Polish,A2,A2,B1,B1,A2,B1,B1,"Hallo Liebe Daniela,",1071_0248345.txt
German,A2,not reported,B1,A2,A2,A2,A2,A2,A2,"Stadt X, 10.03.12",1091_0000197.txt
German,B2,Spanish,B1,B1,B2,B2,B1,B1,B1,Maria Julia Meier Müller,1023_0108766.txt
German,A2,Turkish,A2,B1,B1,B1,B1,B1,B1,Stadt X 10.03.2012,1091_0000193.txt
German,A2,English,A2,B2,B2,B2,B2,B1,B1,"Liebe Katharina,",1091_0000169.txt
German,C1,Turkish,B2,B2,B2,C1,C1,B2,B2,"In meinem Text geht es um „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?",1031_0002088.txt
German,A2,Chinese,A2,B1,B2,B1,B1,B1,B1,Sehr geeherte Damen-Herren,1091_0000077.txt
German,B2,English,B2,B1,B2,B2,B2,B2,B2,Müller Michael,1023_0108423.txt
German,A2,not reported,A2,B1,B2,B1,B2,B1,B1,10.03.2012,1091_0000217.txt
German,B2,other,B2,B1,B2,B2,B2,B2,B2,Michael Meier,1023_0108751.txt
German,B1,Turkish,B1,B1,B2,B1,B1,B1,B1,28.02.2012,1061_0120346.txt
German,C1,other,C1,C1,C1,C1,C1,C2,C1,Ist Deutschlernen sinnvoll?,1031_0003415.txt
